date,headline,close_plus_2d
2020-06-09,Apple Could Announce In-House Chips For Macs At WWDC: Report,59.70000076293945
2020-06-06,"Barron's Picks And Pans: Sysco, Twitter, Zoom Video And More",63.869998931884766
2020-06-05,Shares of several companies in the broader technology space are trading higher as markets rally following strong US jobs data.,63.040000915527344
2020-06-05,Shares of several companies in the broader technology sector are trading higher as markets rally following strong US jobs data.,63.040000915527344
2020-06-03,Here's Why Nio Shares Are Rallying To A Multi-Month High,64.33999633789062
2020-06-01,"Hearing New Jersey Governor Says Outdoor Dining, Hair Salons Will Reopen In Mid Jun.",61.93000030517578
2020-05-31,Semiconductor Industry to Lobby for Billions to Boost U.S. Manufacturing,61.93000030517578
2020-05-29,"Cramer Shares His Thoughts On Teva, Oxford Industries And More",62.119998931884766
2020-05-27,"Chip Stocks Move Higher Following Strong Guidance Out Of Memory Manufacturer Micron: Intel Shares Up 0.1%, AMD Down 3.3%, NVIDIA Down 4%",62.93000030517578
2020-05-26,Linux Founder Switches Allegiance To AMD After 15 Years As Intel Customer,61.70000076293945
2020-06-03,Israeli Startup Deal Digest – May 2020,64.33999633789062
2020-06-01,All Eyes on Market Volatility,61.93000030517578
2020-05-30,"The ""Smart Money"" Continues To Sell Stocks And Buy Gold, As Retail Investors Go Berserk",61.93000030517578
2020-05-28,"Capital Advisory Group Advisory Services, LLC Buys iShares –-' Year Treasury Bond ETF, ...",61.86000061035156
2020-05-28,Growth Stocks for 2020: Trading Tech Stocks + FANG Stocks,61.86000061035156
2020-05-23,Why Is Intel (INTC) Up 5.5% Since Last Earnings Report?,61.70000076293945
2020-05-21,Stocks May Drop On May 21 Ahead Of Economic Data Dump,62.34000015258789
2020-05-21,Stocks Pause After Reopening Rally,62.34000015258789
2020-05-20,5 AI Stocks to Put on Your Watch List Amid Coronavirus Pandemic,62.2599983215332
2020-05-18,Intel's (INTC) New Chips to Boost Efficiency Amid Remote Work,63.09999847412109
2020-05-18,"Capital Advisory Group Advisory Services, LLC Buys iShares –-' Year Treasury Bond ETF, ...",63.09999847412109
2020-05-18,"Thor Advisors, LLC Buys SPDR S&P 5……, Activision Blizzard Inc, Gilead Sciences Inc, ...",63.09999847412109
2020-05-15,"L— Asset Management, LLC Buys Schwab U.S. ...",60.290000915527344
2020-05-15,"Jackson Square Capital, Llc Buys Bristol-Myers Squibb Company, Adobe Inc, Zoom Video ...",60.290000915527344
2020-05-15,9 Different Types Of Stocks - Investing For Beginners,60.290000915527344
2020-05-15,"Clough Capital Partners L P Buys Intel Corp, Netflix Inc, PennyMac Financial Services Inc, ...",60.290000915527344
2020-05-15,"Arrowstreet Capital Limited Partnership Buys Microsoft Corp, Intel Corp, Apple Inc",60.290000915527344
2020-05-14,"Crake Asset Management LLP Buys Cigna Corp, Facebook Inc, Apple Inc, Sells United Airlines ...",59.91999816894531
2020-05-14,"Bainco International Investors Buys Jacobs Engineering Group Inc, Intel Corp, PayPal Holdings ...",59.91999816894531
2020-05-14,"Green Square Asset Management, LLC Buys Cisco Systems Inc, Amgen Inc, International Business ...",59.91999816894531
2020-05-14,"Maple Capital Management, Inc. Buys Adobe Inc, Valero Energy Corp, Nike Inc, Sells Bank of ...",59.91999816894531
2020-05-13,"Healthcare Of Ontario Pension Plan Trust Fund Buys Allergan PLC, Mastercard Inc, Apple Inc, ...",58.27999877929688
2020-05-13,"Cornerstone Advisors, LLC Buys Apple Inc, SPDR S&P 5……, Intel Corp, Sells Cisco Systems ...",58.27999877929688
2020-05-13,"Latash Investments, LLC Buys Slack Technologies Inc, Sells Intel Corp",58.27999877929688
2020-05-13,"Crestline Management, LP Buys Kilroy Realty Corp, Intel Corp, Applied Materials Inc, Sells ...",58.27999877929688
2020-05-13,"Motley Fool Asset Management LLC Buys Johnson & Johnson, Trip. ...",58.27999877929688
